kickoff_time,team_h_score,team_a_score,was_home,round,total_points,value,transfers_balance,selected,transfers_in,transfers_out,loaned_in,loaned_out,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,errors_leading_to_goal_attempt,tackled,offside,target_missed,fouls,dribbles,id,fixture,opponent_team,team,position
2018-08-12 15:00:00+00:00,0,2,True,1,3,50,0,70767,0,0,0,0,90,0,0,0,2,0,0,0,0,0,6,0,24,47.0,0.0,0.0,4.7,0,0,0,2,9,0,0,0,42,31,0,0,0,0,0,0,0,0,0,0,0,12,0,0
2018-08-18 16:30:00+00:00,3,2,False,2,3,50,188,90038,6059,5871,0,0,90,0,0,0,3,0,0,0,0,0,8,0,26,53.0,0.0,0.0,5.3,0,0,0,1,8,0,0,0,35,25,0,0,0,0,0,0,0,0,0,0,13,5,0,0
2018-08-25 14:00:00+00:00,3,1,True,3,3,50,8540,107301,19550,11010,0,0,90,0,0,0,1,0,0,0,0,0,4,0,17,27.8,0.0,0.0,2.8,0,0,0,0,10,0,0,0,24,20,0,0,0,0,0,0,0,0,0,0,20,18,0,0
2018-09-02 12:30:00+00:00,2,3,False,4,1,50,9582,123566,19332,9750,0,0,90,0,0,0,2,0,0,0,0,0,1,0,8,2.4,0.0,0.0,0.2,0,0,0,0,8,0,0,0,38,24,0,0,0,2,0,0,0,0,0,0,32,4,0,0
2018-09-15 14:00:00+00:00,1,2,False,5,2,50,-3297,123310,8837,12134,0,0,90,0,0,0,1,0,0,0,0,0,1,0,13,14.2,0.0,0.0,1.4,0,0,0,2,13,0,0,0,33,23,0,0,0,0,0,0,0,0,0,0,45,14,0,0
2018-09-23 15:00:00+00:00,2,0,True,6,11,50,-797,124787,6593,7390,0,0,90,0,0,1,0,0,0,0,0,0,6,3,36,43.4,0.0,0.0,4.3,0,0,0,2,9,0,1,0,33,23,0,0,0,0,0,0,0,0,0,0,50,7,0,0
2018-09-29 14:00:00+00:00,2,0,True,7,1,50,9392,138891,13595,4203,0,0,45,0,0,0,0,0,0,0,0,0,1,0,6,17.2,0.0,0.0,1.7,0,0,0,1,5,0,0,0,18,7,0,0,0,0,0,0,0,0,0,0,60,17,0,0
2018-10-07 11:00:00+00:00,1,5,False,8,0,50,-28910,107912,924,29834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,8,0,0
2018-10-22 19:00:00+00:00,3,1,True,9,0,50,-16395,92724,336,16731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,10,0,0
2018-10-28 13:30:00+00:00,2,2,False,10,0,50,-2999,90783,1139,4138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,6,0,0
2018-11-03 17:30:00+00:00,1,1,True,11,0,50,-3439,87892,565,4004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,11,0,0
2018-11-11 16:30:00+00:00,1,1,True,12,0,50,-2784,85826,879,3663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,19,0,0
