,id,kickoff_time,kickoff_time_formatted,team_h_score,team_a_score,was_home,round,total_points,value,transfers_balance,selected,transfers_in,transfers_out,loaned_in,loaned_out,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,errors_leading_to_goal_attempt,tackled,offside,target_missed,fouls,dribbles,element,fixture,opponent_team
0,1,2018-08-12T15:00:00Z,12 Aug 16:00,0,2,True,1,3,50,0,70767,0,0,0,0,90,0,0,0,2,0,0,0,0,0,6,0,24,47.0,0.0,0.0,4.7,0,0,0,2,9,0,0,0,42,31,0,0,0,0,0,0,0,0,0,1,1,13
1,526,2018-08-18T16:30:00Z,18 Aug 17:30,3,2,False,2,3,50,188,90038,6059,5871,0,0,90,0,0,0,3,0,0,0,0,0,8,0,26,53.0,0.0,0.0,5.3,0,0,0,1,8,0,0,0,35,25,0,0,0,0,0,0,0,0,0,1,14,6
2,1053,2018-08-25T14:00:00Z,25 Aug 15:00,3,1,True,3,3,50,8540,107301,19550,11010,0,0,90,0,0,0,1,0,0,0,0,0,4,0,17,27.8,0.0,0.0,2.8,0,0,0,0,10,0,0,0,24,20,0,0,0,0,0,0,0,0,0,1,21,19
3,1584,2018-09-02T12:30:00Z,02 Sep 13:30,2,3,False,4,1,50,9582,123566,19332,9750,0,0,90,0,0,0,2,0,0,0,0,0,1,0,8,2.4,0.0,0.0,0.2,0,0,0,0,8,0,0,0,38,24,0,0,0,2,0,0,0,0,0,1,33,5
4,2121,2018-09-15T14:00:00Z,15 Sep 15:00,1,2,False,5,2,50,-3297,123310,8837,12134,0,0,90,0,0,0,1,0,0,0,0,0,1,0,13,14.2,0.0,0.0,1.4,0,0,0,2,13,0,0,0,33,23,0,0,0,0,0,0,0,0,0,1,46,15
5,2658,2018-09-23T15:00:00Z,23 Sep 16:00,2,0,True,6,11,50,-797,124787,6593,7390,0,0,90,0,0,1,0,0,0,0,0,0,6,3,36,43.4,0.0,0.0,4.3,0,0,0,2,9,0,1,0,33,23,0,0,0,0,0,0,0,0,0,1,51,8
6,3196,2018-09-29T14:00:00Z,29 Sep 15:00,2,0,True,7,1,50,9392,138891,13595,4203,0,0,45,0,0,0,0,0,0,0,0,0,1,0,6,17.2,0.0,0.0,1.7,0,0,0,1,5,0,0,0,18,7,0,0,0,0,0,0,0,0,0,1,61,18
7,3735,2018-10-07T11:00:00Z,07 Oct 12:00,1,5,False,8,0,50,-28910,107912,924,29834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74,9
8,4277,2018-10-22T19:00:00Z,22 Oct 20:00,3,1,True,9,0,50,-16395,92724,336,16731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,81,11
9,4823,2018-10-28T13:30:00Z,28 Oct 13:30,2,2,False,10,0,50,-2999,90783,1139,4138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,93,7
10,5371,2018-11-03T17:30:00Z,03 Nov 17:30,1,1,True,11,0,50,-3439,87892,565,4004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,101,12
11,5921,2018-11-11T16:30:00Z,11 Nov 16:30,1,1,True,12,0,50,-2784,85826,879,3663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,111,20
12,6473,2018-11-25T13:30:00Z,25 Nov 13:30,1,2,False,13,0,49,-2721,83590,457,3178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,121,2
13,7026,2018-12-02T14:05:00Z,02 Dec 14:05,4,2,True,14,0,49,-1529,82400,210,1739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,131,17
14,7582,2018-12-05T20:00:00Z,05 Dec 20:00,2,2,False,15,0,49,-1607,81015,188,1795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,145,14
15,8140,2018-12-08T15:00:00Z,08 Dec 15:00,1,0,True,16,0,49,-1317,80100,604,1921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,151,10
16,8699,2018-12-16T13:30:00Z,16 Dec 13:30,3,2,False,17,0,49,-2094,78349,299,2393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,167,16
17,9261,2018-12-22T12:30:00Z,22 Dec 12:30,3,1,True,18,0,49,-1474,77315,281,1755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,171,4
18,9826,2018-12-26T17:15:00Z,26 Dec 17:15,1,1,False,19,0,49,-1490,76135,239,1729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,181,3
19,10394,2018-12-29T17:30:00Z,29 Dec 17:30,5,1,False,20,0,48,-1274,75199,193,1467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,196,12
20,10962,2019-01-01T15:00:00Z,01 Jan 15:00,4,1,True,21,0,48,-1289,74203,249,1538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,201,9
21,11532,2019-01-12T12:30:00Z,12 Jan 12:30,1,0,False,22,0,48,-1560,73210,308,1868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,220,19
22,12106,2019-01-19T17:30:00Z,19 Jan 17:30,2,0,True,23,0,48,-1218,72299,146,1364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,221,6
23,12685,2019-01-29T19:45:00Z,29 Jan 19:45,2,1,True,24,0,48,-814,71912,304,1118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,231,5
24,13268,2019-02-03T16:30:00Z,03 Feb 16:30,3,1,False,25,0,48,-488,71563,115,603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,248,13
25,13922,2019-02-09T15:00:00Z,09 Feb 15:00,1,2,False,26,0,48,-568,71372,269,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,254,10
26,14522,2019-02-24T14:05:00Z,24 Feb 14:05,2,0,True,27,0,48,-552,71363,322,874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,261,16
27,15006,2019-02-27T19:45:00Z,27 Feb 19:45,5,1,True,28,0,48,-210,71180,88,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,271,2
28,15611,2019-03-02T12:30:00Z,02 Mar 12:30,1,1,False,29,0,48,-321,70975,79,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,287,17
29,16217,2019-03-10T16:30:00Z,10 Mar 16:30,2,0,True,30,0,48,-333,70799,65,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,291,14
30,17131,2019-04-01T19:00:00Z,01 Apr 20:00,2,0,True,32,0,48,-203,70711,114,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,311,15
31,18033,2019-04-07T13:05:00Z,07 Apr 14:05,1,0,False,33,0,47,-88,70804,157,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,323,8
32,18406,2019-04-15T19:00:00Z,15 Apr 20:00,0,1,False,34,0,47,-100,70833,132,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,340,18
33,19080,2019-04-21T15:00:00Z,21 Apr 16:00,2,3,True,35,0,47,-33,71001,271,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,341,7
34,19079,2019-04-24T18:45:00Z,24 Apr 19:45,3,1,False,35,0,47,-33,71001,271,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,310,20
35,19937,2019-04-28T11:00:00Z,28 Apr 12:00,3,0,False,36,0,47,-140,70940,109,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,355,11
36,20552,2019-05-05T15:30:00Z,05 May 16:30,1,1,True,37,0,47,-112,70944,114,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,361,3
37,21168,2019-05-12T14:00:00Z,12 May 15:00,1,3,False,38,0,47,25,71135,272,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,372,4
38,2,2018-08-12T15:00:00Z,12 Aug 16:00,0,2,True,1,0,50,0,110646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,13
39,527,2018-08-18T16:30:00Z,18 Aug 17:30,3,2,False,2,0,50,-14370,107349,1857,16227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,6
40,1054,2018-08-25T14:00:00Z,25 Aug 15:00,3,1,True,3,0,49,-17771,92305,1103,18874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,19
41,1585,2018-09-02T12:30:00Z,02 Sep 13:30,2,3,False,4,0,49,-11562,82858,500,12062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,33,5
42,2122,2018-09-15T14:00:00Z,15 Sep 15:00,1,2,False,5,0,48,-7085,77555,754,7839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,46,15
43,2659,2018-09-23T15:00:00Z,23 Sep 16:00,2,0,True,6,0,48,-4376,74131,353,4729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,51,8
44,3197,2018-09-29T14:00:00Z,29 Sep 15:00,2,0,True,7,2,48,-3790,70906,180,3970,0,0,45,0,0,0,0,0,0,0,0,0,3,0,11,26.4,0.0,0.0,2.6,0,0,0,2,3,0,0,0,18,12,0,0,0,0,0,0,0,0,0,2,61,18
45,3736,2018-10-07T11:00:00Z,07 Oct 12:00,1,5,False,8,3,48,11531,85008,13379,1848,0,0,90,0,0,0,1,0,0,0,0,0,3,0,19,21.6,0.0,0.0,2.2,0,0,0,1,17,0,0,0,33,25,0,0,0,0,0,0,0,0,0,2,74,9
46,4278,2018-10-22T19:00:00Z,22 Oct 20:00,3,1,True,9,2,48,4917,90965,8112,3195,0,0,90,0,0,0,1,0,0,0,0,0,2,0,13,16.2,0.0,0.0,1.6,0,0,0,1,11,0,0,0,26,21,0,0,0,0,0,0,0,0,0,2,81,11
47,4824,2018-10-28T13:30:00Z,28 Oct 13:30,2,2,False,10,1,48,1406,93513,4223,2817,0,0,90,0,0,0,2,0,0,0,0,0,1,0,12,9.2,0.0,0.0,0.9,0,0,0,5,6,0,0,0,24,23,0,0,0,0,0,0,0,0,0,2,93,7
48,5372,2018-11-03T17:30:00Z,03 Nov 17:30,1,1,True,11,3,48,-3545,90454,1621,5166,0,0,90,0,0,0,1,0,0,0,0,0,3,0,12,23.6,0.0,0.0,2.4,0,0,0,2,7,0,0,0,27,23,0,0,1,0,0,0,0,0,0,2,101,12
49,5922,2018-11-11T16:30:00Z,11 Nov 16:30,1,1,True,12,4,48,6143,99308,8173,2030,0,0,90,0,0,0,1,0,0,0,0,0,4,1,18,31.0,0.0,0.0,3.1,0,0,0,0,14,0,0,0,19,18,0,0,0,0,0,0,0,0,0,2,111,20
50,6474,2018-11-25T13:30:00Z,25 Nov 13:30,1,2,False,13,3,48,544,100630,3453,2909,0,0,90,0,0,0,1,0,0,0,0,0,5,0,20,31.8,0.0,0.0,3.2,0,0,0,0,13,0,0,0,35,15,0,0,0,0,0,0,0,0,0,2,121,2
51,7027,2018-12-02T14:05:00Z,02 Dec 14:05,4,2,True,14,2,48,-51,101270,1996,2047,0,0,90,0,0,0,2,0,0,0,0,0,4,0,13,23.4,0.0,0.0,2.3,0,0,0,1,7,0,0,0,30,17,0,0,1,0,0,0,0,0,0,2,131,17
52,7583,2018-12-05T20:00:00Z,05 Dec 20:00,2,2,False,15,2,48,1130,103367,3448,2318,0,0,90,0,0,0,2,0,0,0,0,0,5,0,22,24.6,0.0,0.0,2.5,0,0,0,1,12,0,0,0,32,23,0,0,0,0,0,0,0,0,0,2,145,14
53,8141,2018-12-08T15:00:00Z,08 Dec 15:00,1,0,True,16,7,48,14441,124446,16815,2374,0,0,90,0,0,1,0,0,0,0,0,0,0,1,22,6.4,0.0,0.0,0.6,0,0,0,1,7,0,0,0,38,27,0,0,0,0,0,0,0,0,0,2,151,10
54,8700,2018-12-16T13:30:00Z,16 Dec 13:30,3,2,False,17,2,48,12049,135252,15864,3815,0,0,90,0,0,0,3,0,0,0,0,0,4,0,14,20.6,0.0,0.0,2.1,0,0,0,1,9,0,0,0,28,26,0,0,1,0,0,0,0,0,0,2,167,16
55,9262,2018-12-22T12:30:00Z,22 Dec 12:30,3,1,True,18,2,48,5500,142055,10708,5208,0,0,90,0,0,0,1,0,0,0,0,0,1,0,11,13.2,0.0,0.0,1.3,0,0,0,2,7,0,0,0,38,22,0,0,0,0,0,0,0,0,0,2,171,4
